,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
4,53,6499c6c057411383668115f0,2023-06-26T17:11:28.896Z,liviade#1387,bear100#9085,for their incredible work pulling together the Optimism growth grant application,0,6499c60a574113836681076e,6499c60a574113836681076e,r33pich33p,divine_comedian,zeptimus,4.33333333333333,89.0,False,for their incredible work pulling together the Optimism growth grant application
5,39,6499c64d5741138366810878,2023-06-26T17:09:33.304Z,liviade#1387,Isaac (enti)#1546,for their work on the Optimism Growth Grant for the TEC!,0,6499c60a574113836681076e,6499c60a574113836681076e,r33pich33p,divine_comedian,zeptimus,4.33333333333333,89.0,False,for their work on the Optimism Growth Grant for the TEC!
10,145,64ac3f6fa6ed416eb2876ef5,2023-07-10T17:27:11.968Z,0xr3x,bear100#9085,for figuring out the numbers for the grants payments,0,64ac3e17a6ed416eb2876e1a,0,maxwe11,philh,zeptimus,21.0,55.0,False,for figuring out the numbers for the grants payments
12,149,64ac3fe0a6ed416eb2876f3c,2023-07-10T17:29:04.788Z,Tamarandom#9361,gideonro#0,for continuing to play an important leadership role in the TEC,0,6499c7fe5741138366811c1f,0,r33pich33p,philh,zeptimus,21.0,55.0,False,for continuing to play an important leadership role in the TEC
15,38,6499c64d5741138366810879,2023-06-26T17:09:33.304Z,Tamarandom#9361,Isaac (enti)#1546,for their work on the Optimism Growth Grant for the TEC!,0,6499c60a574113836681076f,6499c60a574113836681076f,r33pich33p,philh,zeptimus,4.33333333333333,55.0,False,for their work on the Optimism Growth Grant for the TEC!
16,50,6499c6c057411383668115f1,2023-06-26T17:11:28.896Z,Tamarandom#9361,bear100#9085,for their incredible work pulling together the Optimism growth grant application,0,6499c60a574113836681076f,6499c60a574113836681076f,r33pich33p,philh,zeptimus,4.33333333333333,55.0,False,for their incredible work pulling together the Optimism growth grant application
18,59,6499c71d574113836681171d,2023-06-26T17:13:01.552Z,Tamarandom#9361,bear100#9085,for their great work in putting together PM practices and constantly improving our agile approach in the team,0,6499c6935741138366810c82,0,r33pich33p,philh,zeptimus,22.6666666666667,55.0,False,for their great work in putting together PM practices and constantly improving our agile approach in the team
21,79,6499c7c75741138366811a4b,2023-06-26T17:15:51.431Z,akrtws#4246,natesuits#4789,for representing the TE community in all facets and providing leadership and a vision for the future of this industry!,0,6499c7c75741138366811a2c,0,maxwe11,philh,natesuits,4.33333333333333,55.0,False,for representing the TE community in all facets and providing leadership and a vision for the future of this industry!
22,109,649a060b5741138366813cf3,2023-06-26T21:41:31.698Z,liviade#1387,ygg_anderson#4998,For being super all stars on the TE Stakeholder Profiles Study!,0,6499c7e65741138366811ae3,0,r33pich33p,divine_comedian,zeptimus,15.6666666666667,55.0,False,For being super all stars on the TE Stakeholder Profiles Study!
29,71,6499c77f574113836681190a,2023-06-26T17:14:39.107Z,JHennyArt#2106,Tamarandom#9361,"for trying to find the best comms strategies and being receptive to feedback when a question is raised about ""why that tweet""?",0,6499c73d57411383668117f4,0,maxwe11,divine_comedian,natesuits,1.66666666666667,34.0,False,"for trying to find the best comms strategies and being receptive to feedback when a question is raised about ""why that tweet""?"
