"id","date","to user account","to user account id","to eth address","from user account","from user account id","from eth address","reason","source id","source name","score 1","score 2","score 3","duplicate id 1","duplicate id 2","duplicate id 3","dismissed 1","dismissed 2","dismissed 3","quantifier 1 username","quantifier 1 eth address","quantifier 2 username","quantifier 2 eth address","quantifier 3 username","quantifier 3 eth address","avg score"
"63330f24b867a8bdb0786a9c","2022-09-27T14:56:36.388Z","divine_comedian#5493","63330f21144cdd9b89d11bff","0x826976d7C600d45FB8287CA1d7c76FC8eb732030","geleeroyale#3228","63330ed2144cdd9b89d11bc7","0x701d0ECB3BA780De7b2b36789aEC4493A426010a","for an awesomely painless installation - ⭐⭐⭐⭐⭐ for praisebot v2","DISCORD:679428761438912522:823570903219568700","DISCORD:Giveth:%F0%9F%92%9C%E2%94%8Bpraise",55,34,34,,,,false,false,false,"brichis#6933","0x7fC80faD32Ec41fd5CfcC14EeE9C31953b6B4a8B","geleeroyale#3228","0x701d0ECB3BA780De7b2b36789aEC4493A426010a","WhyldWanderer#7002","0xed8DB37778804A913670d9367aAf4F043AAd938b",41
"63330f27b867a8bdb0786aa4","2022-09-27T14:56:39.630Z","kristofer#1475","63330f24144cdd9b89d11c06","0xa32aECda752cF4EF89956e83d60C04835d4FA867","geleeroyale#3228","63330ed2144cdd9b89d11bc7","0x701d0ECB3BA780De7b2b36789aEC4493A426010a","for an awesomely painless installation - ⭐⭐⭐⭐⭐ for praisebot v2","DISCORD:679428761438912522:823570903219568700","DISCORD:Giveth:%F0%9F%92%9C%E2%94%8Bpraise",55,0,34,,"635a845f1ab998280302adc6",,false,false,false,"brichis#6933","0x7fC80faD32Ec41fd5CfcC14EeE9C31953b6B4a8B","ClaraZi#5313","0xa9ccD6b0919e43FD7CFC990572E43c3CF6a17397","miguelb#5176","0x7311b7bf2f004b8070efAf4A130348EEB18EF369",31.5
"63331e0fb867a8bdb0786aca","2022-09-27T16:00:15.875Z","divine_comedian#5493","63330f21144cdd9b89d11bff","0x826976d7C600d45FB8287CA1d7c76FC8eb732030","ahmad#7204","633311ce144cdd9b89d11d66","0x33878e070db7f70D2953Fe0278Cd32aDf8104572","for getting praise v2 up and running","DISCORD:679428761438912522:823570903219568700","DISCORD:Giveth:%F0%9F%92%9C%E2%94%8Bpraise",0,0,0,"63330f24b867a8bdb0786a9c","63330f24b867a8bdb0786a9c","63330f24b867a8bdb0786a9c",false,false,false,"brichis#6933","0x7fC80faD32Ec41fd5CfcC14EeE9C31953b6B4a8B","geleeroyale#3228","0x701d0ECB3BA780De7b2b36789aEC4493A426010a","WhyldWanderer#7002","0xed8DB37778804A913670d9367aAf4F043AAd938b",4.1
"63331e10b867a8bdb0786ad2","2022-09-27T16:00:16.422Z","kristofer#1475","63330f24144cdd9b89d11c06","0xa32aECda752cF4EF89956e83d60C04835d4FA867","ahmad#7204","633311ce144cdd9b89d11d66","0x33878e070db7f70D2953Fe0278Cd32aDf8104572","for getting praise v2 up and running","DISCORD:679428761438912522:823570903219568700","DISCORD:Giveth:%F0%9F%92%9C%E2%94%8Bpraise",0,144,0,"63330f27b867a8bdb0786aa4",,"63330f27b867a8bdb0786aa4",false,false,false,"brichis#6933","0x7fC80faD32Ec41fd5CfcC14EeE9C31953b6B4a8B","ClaraZi#5313","0xa9ccD6b0919e43FD7CFC990572E43c3CF6a17397","miguelb#5176","0x7311b7bf2f004b8070efAf4A130348EEB18EF369",50.97
"63331e10b867a8bdb0786ad9","2022-09-27T16:00:16.647Z","geleeroyale#3228","63330ed2144cdd9b89d11bc7","0x701d0ECB3BA780De7b2b36789aEC4493A426010a","ahmad#7204","633311ce144cdd9b89d11d66","0x33878e070db7f70D2953Fe0278Cd32aDf8104572","for getting praise v2 up and running","DISCORD:679428761438912522:823570903219568700","DISCORD:Giveth:%F0%9F%92%9C%E2%94%8Bpraise",34,144,34,,,,false,false,false,"divine_comedian#5493","0x826976d7C600d45FB8287CA1d7c76FC8eb732030","ClaraZi#5313","0xa9ccD6b0919e43FD7CFC990572E43c3CF6a17397","WhyldWanderer#7002","0xed8DB37778804A913670d9367aAf4F043AAd938b",70.67
"633324a8b867a8bdb0786af3","2022-09-27T16:28:24.960Z","divine_comedian#5493","63330f21144cdd9b89d11bff","0x826976d7C600d45FB8287CA1d7c76FC8eb732030","Giantkin#8403","63332451144cdd9b89d1258f","0xff75E131c711e4310C045317779d39B3B4f718C4","New Praisebot!","DISCORD:679428761438912522:823570903219568700","DISCORD:Giveth:%F0%9F%92%9C%E2%94%8Bpraise",0,0,0,"63330f24b867a8bdb0786a9c","63330f24b867a8bdb0786a9c","63330f24b867a8bdb0786a9c",false,false,false,"brichis#6933","0x7fC80faD32Ec41fd5CfcC14EeE9C31953b6B4a8B","geleeroyale#3228","0x701d0ECB3BA780De7b2b36789aEC4493A426010a","WhyldWanderer#7002","0xed8DB37778804A913670d9367aAf4F043AAd938b",2.97
"633324a9b867a8bdb0786afb","2022-09-27T16:28:25.434Z","kristofer#1475","63330f24144cdd9b89d11c06","0xa32aECda752cF4EF89956e83d60C04835d4FA867","Giantkin#8403","63332451144cdd9b89d1258f","0xff75E131c711e4310C045317779d39B3B4f718C4","New Praisebot!","DISCORD:679428761438912522:823570903219568700","DISCORD:Giveth:%F0%9F%92%9C%E2%94%8Bpraise",0,0,0,"63330f27b867a8bdb0786aa4","635a845f1ab998280302adc6","63330f27b867a8bdb0786aa4",false,false,false,"brichis#6933","0x7fC80faD32Ec41fd5CfcC14EeE9C31953b6B4a8B","ClaraZi#5313","0xa9ccD6b0919e43FD7CFC990572E43c3CF6a17397","miguelb#5176","0x7311b7bf2f004b8070efAf4A130348EEB18EF369",4.8
"633324a9b867a8bdb0786b02","2022-09-27T16:28:25.659Z","geleeroyale#3228","63330ed2144cdd9b89d11bc7","0x701d0ECB3BA780De7b2b36789aEC4493A426010a","Giantkin#8403","63332451144cdd9b89d1258f","0xff75E131c711e4310C045317779d39B3B4f718C4","New Praisebot!","DISCORD:679428761438912522:823570903219568700","DISCORD:Giveth:%F0%9F%92%9C%E2%94%8Bpraise",0,144,0,"63331e10b867a8bdb0786ad9",,"63331e10b867a8bdb0786ad9",false,false,false,"divine_comedian#5493","0x826976d7C600d45FB8287CA1d7c76FC8eb732030","ClaraZi#5313","0xa9ccD6b0919e43FD7CFC990572E43c3CF6a17397","WhyldWanderer#7002","0xed8DB37778804A913670d9367aAf4F043AAd938b",50.27
"63333254b867a8bdb0786b1c","2022-09-27T17:26:44.545Z","geleeroyale#3228","63330ed2144cdd9b89d11bc7","0x701d0ECB3BA780De7b2b36789aEC4493A426010a","kristofer#1475","63330f24144cdd9b89d11c06","0xa32aECda752cF4EF89956e83d60C04835d4FA867","for figuring out how to set up the new Praise system without pinging me a single support question!","DISCORD:679428761438912522:823570903219568700","DISCORD:Giveth:%F0%9F%92%9C%E2%94%8Bpraise",0,0,0,"63331e10b867a8bdb0786ad9","63331e10b867a8bdb0786ad9","63331e10b867a8bdb0786ad9",false,false,false,"divine_comedian#5493","0x826976d7C600d45FB8287CA1d7c76FC8eb732030","ClaraZi#5313","0xa9ccD6b0919e43FD7CFC990572E43c3CF6a17397","WhyldWanderer#7002","0xed8DB37778804A913670d9367aAf4F043AAd938b",7.07
"633339ffb867a8bdb0786b2d","2022-09-27T17:59:27.801Z","Griff (💜,💜)#8888","633339fe144cdd9b89d12f30","0x839395e20bbB182fa440d08F850E6c7A8f6F0780","Jake🐍#0203","63331841144cdd9b89d12069","0xB9573982875b83aaDc1296726E2ae77D13D9B98F","for his time and words of wisdom, appreciate the direction and veteran advice","DISCORD:679428761438912522:823570903219568700","DISCORD:Giveth:%F0%9F%92%9C%E2%94%8Bpraise",13,5,8,,,,false,false,false,"cuidadopeligro#4788","0x8132505BAeDbAa7320b8F2340F65976Edc0e8fBc","geleeroyale#3228","0x701d0ECB3BA780De7b2b36789aEC4493A426010a","miguelb#5176","0x7311b7bf2f004b8070efAf4A130348EEB18EF369",8.67
