"id","date","to user account","to user account id","to eth address","from user account","from user account id","from eth address","reason","source id","source name","score 1","score 2","score 3","score 4","score 5","duplicate id 1","duplicate id 2","duplicate id 3","duplicate id 4","duplicate id 5","dismissed 1","dismissed 2","dismissed 3","dismissed 4","dismissed 5","quantifier 1 username","quantifier 1 eth address","quantifier 2 username","quantifier 2 eth address","quantifier 3 username","quantifier 3 eth address","quantifier 4 username","quantifier 4 eth address","quantifier 5 username","quantifier 5 eth address","avg score"
"63a102b64287630828df058d","2022-12-20T00:32:54.849Z","natesuits#4789","621f79cf95a79aa51435b2f7","0x66dF5A7715C5D4AfbBFA52435c66aa20733be0d1","GideonRo#3175","621f79d595a79aa51435c5ff","0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53","for his leadership in starting up the Voting Systems Interest Group and thinking through the processes for running it.","DISCORD:810180621930070088:1050115272427708466","DISCORD:Token%20Engineering%20Commons:%F0%9F%97%B3%EF%BD%9Cvoting-systems",13,13,13,21,13,,,,,,false,false,false,false,false,"lee0007#8152","0x3E31155a1c17c9F85e74828447aec412090a4622","Mettodo#7010","0x7710E7e881333Fd3396Ca5966BeD6E72746b612D","Nuggan#5183","0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB","r33pich33p#6906","0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B","Zeptimus#3359","0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737",14.6
"63a102e94287630828df059c","2022-12-20T00:33:45.659Z","natesuits#4789","621f79cf95a79aa51435b2f7","0x66dF5A7715C5D4AfbBFA52435c66aa20733be0d1","GideonRo#3175","621f79d595a79aa51435c5ff","0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53","for moderating the first Voting Systems Interest Group meeting today and leading a valuable discussion","DISCORD:810180621930070088:1050115272427708466","DISCORD:Token%20Engineering%20Commons:%F0%9F%97%B3%EF%BD%9Cvoting-systems",8,21,8,21,8,,,,,,false,false,false,false,false,"lee0007#8152","0x3E31155a1c17c9F85e74828447aec412090a4622","Mettodo#7010","0x7710E7e881333Fd3396Ca5966BeD6E72746b612D","Nuggan#5183","0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB","r33pich33p#6906","0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B","Zeptimus#3359","0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737",13.2
"63a103084287630828df05ab","2022-12-20T00:34:16.931Z","GideonRo#3175","621f79d595a79aa51435c5ff","0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53","GideonRo#3175","621f79d595a79aa51435c5ff","0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53","for attending the first Voting Systems Interest Group meeting today","DISCORD:810180621930070088:1050115272427708466","DISCORD:Token%20Engineering%20Commons:%F0%9F%97%B3%EF%BD%9Cvoting-systems",3,1,1,8,1,,,,,,false,false,false,false,false,"lee0007#8152","0x3E31155a1c17c9F85e74828447aec412090a4622","Mettodo#7010","0x7710E7e881333Fd3396Ca5966BeD6E72746b612D","Nuggan#5183","0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB","r33pich33p#6906","0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B","Zeptimus#3359","0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737",2.8
"63a103094287630828df05b2","2022-12-20T00:34:17.930Z","enti#1546","6220d93f95a79aa51436be5e","0x6897aBe0fD62B589260784B21F4ca3F78A0D8017","GideonRo#3175","621f79d595a79aa51435c5ff","0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53","for attending the first Voting Systems Interest Group meeting today","DISCORD:810180621930070088:1050115272427708466","DISCORD:Token%20Engineering%20Commons:%F0%9F%97%B3%EF%BD%9Cvoting-systems",3,1,1,8,1,,,,,,false,false,false,false,false,"lee0007#8152","0x3E31155a1c17c9F85e74828447aec412090a4622","Mettodo#7010","0x7710E7e881333Fd3396Ca5966BeD6E72746b612D","Nuggan#5183","0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB","r33pich33p#6906","0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B","Zeptimus#3359","0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737",2.8
"63a1030c4287630828df05b9","2022-12-20T00:34:20.366Z","r-x-x#8344","62719c82d6f46f43ffe0ce96","0x1409a9ef3450D5d50aAd004f417436e772FbF8fC","GideonRo#3175","621f79d595a79aa51435c5ff","0xB08F0ca73E8A59a1b7970e22B8ed2F9142c3fA53","for attending the first Voting Systems Interest Group meeting today","DISCORD:810180621930070088:1050115272427708466","DISCORD:Token%20Engineering%20Commons:%F0%9F%97%B3%EF%BD%9Cvoting-systems",3,1,1,8,1,,,,,,false,false,false,false,false,"lee0007#8152","0x3E31155a1c17c9F85e74828447aec412090a4622","Mettodo#7010","0x7710E7e881333Fd3396Ca5966BeD6E72746b612D","Nuggan#5183","0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB","r33pich33p#6906","0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B","Zeptimus#3359","0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737",2.8
"63a216f24287630828df05d4","2022-12-20T20:11:30.107Z","r-x-x#8344","62719c82d6f46f43ffe0ce96","0x1409a9ef3450D5d50aAd004f417436e772FbF8fC","Griff (💜,💜)#8888","621f79ce95a79aa51435b223","0x839395e20bbB182fa440d08F850E6c7A8f6F0780","for setting up the issues channel :-D","DISCORD:810180621930070088:1050478620239482941","DISCORD:Token%20Engineering%20Commons:%E2%9D%93%EF%BD%9Cissues",5,5,8,21,13,,,,,,false,false,false,false,false,"lee0007#8152","0x3E31155a1c17c9F85e74828447aec412090a4622","Mettodo#7010","0x7710E7e881333Fd3396Ca5966BeD6E72746b612D","Nuggan#5183","0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB","r33pich33p#6906","0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B","Zeptimus#3359","0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737",10.4
"63a246144287630828df05e3","2022-12-20T23:32:36.572Z","SatoriD#2945","624c5f8871e68891991f0c76","0xeE9f5aB4faeCBe30012f675Bb938031BC51bB49B","Mert Ozd#6679","621f79dd95a79aa51435e276","0x9690a9E92edadd9a4ff64da25eb6AD60791C37ff","for amaing work in conslience library process. They succesfully project manage, turn design ideas to actual designs and functional wireframes. It is truly a amazing work that one praise may not cover fully.","DISCORD:810180621930070088:948663379487252530","DISCORD:Token%20Engineering%20Commons:%F0%9F%8E%91%EF%BD%9Comega%20%2F%20Consilience%20Library",8,21,21,55,8,,,,,,false,false,false,false,false,"lee0007#8152","0x3E31155a1c17c9F85e74828447aec412090a4622","Mettodo#7010","0x7710E7e881333Fd3396Ca5966BeD6E72746b612D","Nuggan#5183","0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB","r33pich33p#6906","0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B","Zeptimus#3359","0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737",22.6
"63a246144287630828df05ea","2022-12-20T23:32:36.992Z","solsista#5370","621f79d095a79aa51435b5e0","0x949Bba9F1C13F2461835366AEBcb53c852dd4308","Mert Ozd#6679","621f79dd95a79aa51435e276","0x9690a9E92edadd9a4ff64da25eb6AD60791C37ff","for amaing work in conslience library process. They succesfully project manage, turn design ideas to actual designs and functional wireframes. It is truly a amazing work that one praise may not cover fully.","DISCORD:810180621930070088:948663379487252530","DISCORD:Token%20Engineering%20Commons:%F0%9F%8E%91%EF%BD%9Comega%20%2F%20Consilience%20Library",8,8,21,55,13,,,,,,false,false,false,false,false,"lee0007#8152","0x3E31155a1c17c9F85e74828447aec412090a4622","Mettodo#7010","0x7710E7e881333Fd3396Ca5966BeD6E72746b612D","Nuggan#5183","0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB","r33pich33p#6906","0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B","Zeptimus#3359","0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737",21
"63a246154287630828df05f1","2022-12-20T23:32:37.316Z","Jolly LaMa#5962","624da6ab71e6889199209790",,"Mert Ozd#6679","621f79dd95a79aa51435e276","0x9690a9E92edadd9a4ff64da25eb6AD60791C37ff","for amaing work in conslience library process. They succesfully project manage, turn design ideas to actual designs and functional wireframes. It is truly a amazing work that one praise may not cover fully.","DISCORD:810180621930070088:948663379487252530","DISCORD:Token%20Engineering%20Commons:%F0%9F%8E%91%EF%BD%9Comega%20%2F%20Consilience%20Library",8,8,21,55,13,,,,,,false,false,false,false,false,"lee0007#8152","0x3E31155a1c17c9F85e74828447aec412090a4622","Mettodo#7010","0x7710E7e881333Fd3396Ca5966BeD6E72746b612D","Nuggan#5183","0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB","r33pich33p#6906","0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B","Zeptimus#3359","0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737",21
"63a246154287630828df05f9","2022-12-20T23:32:37.783Z","Letty#5399","621f79d095a79aa51435b5e9","0x66D9dfddC3AD45d6383D5B9e9354F60Bc9D16A8e","Mert Ozd#6679","621f79dd95a79aa51435e276","0x9690a9E92edadd9a4ff64da25eb6AD60791C37ff","for amaing work in conslience library process. They succesfully project manage, turn design ideas to actual designs and functional wireframes. It is truly a amazing work that one praise may not cover fully.","DISCORD:810180621930070088:948663379487252530","DISCORD:Token%20Engineering%20Commons:%F0%9F%8E%91%EF%BD%9Comega%20%2F%20Consilience%20Library",8,8,21,55,8,,,,,,false,false,false,false,false,"lee0007#8152","0x3E31155a1c17c9F85e74828447aec412090a4622","Mettodo#7010","0x7710E7e881333Fd3396Ca5966BeD6E72746b612D","Nuggan#5183","0x0Bf920dfE6D36829aB5b0e153857D4CA689E46fB","r33pich33p#6906","0x4318cC449b1cbE6d64dd82E16abE58C79E076C2B","Zeptimus#3359","0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737",20
