"ID","DATE","TO USER ACCOUNT","TO ETH ADDRESS","FROM USER ACCOUNT","FROM ETH ADDRESS","REASON","SOURCE ID","SOURCE NAME","SCORE 1","SCORE 2","SCORE 3","DUPLICATE ID 1","DUPLICATE ID 2","DUPLICATE ID 3","DISMISSED 1","DISMISSED 2","DISMISSED 3","QUANTIFIER 1 USERNAME","QUANTIFIER 1 ETH ADDRESS","QUANTIFIER 2 USERNAME","QUANTIFIER 2 ETH ADDRESS","QUANTIFIER 3 USERNAME","QUANTIFIER 3 ETH ADDRESS","AVG SCORE"
"621f79e143b89009366c841c","2021-07-11T22:00:00.000Z","Suga#8514",,"Vyvy-vi#5040","0x2fA130927814B590623031e846f059df9554FdDe","for making edits in the welcome text","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",3,3,144,,,,false,false,false,"Tam2140#9361","0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8","Vyvy-vi#5040","0x2fA130927814B590623031e846f059df9554FdDe","Mettodo#7010","0x7710E7e881333Fd3396Ca5966BeD6E72746b612D",50
"621f79e143b89009366c841d","2021-07-11T22:00:00.000Z","Vyvy-vi#5040","0x2fA130927814B590623031e846f059df9554FdDe","Suga#8514",,"for making edits in the welcome text.","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",8,3,3,,,,false,false,false,"osycross(🦎🦎)#5943","0xFe99402763531258875949D449db20157b77Ec5C","liviade#1387","0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6","Mettodo#7010","0x7710E7e881333Fd3396Ca5966BeD6E72746b612D",4
"621f79e143b89009366c841e","2021-07-11T22:00:00.000Z","acidlazzer#5796","0x8aA27E90E139d5AB5704df69429341cbCb2d2464","Juankbell#7458",,"for offering to help us improve some designs for Gravity 🙂 super appreciated your contribution 🙂","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",55,5,21,,,,false,false,false,"Usua◎ Silver#2618","0x914C0E63F98a091e74b7c5e78993bB8de735aE74","liviade#1387","0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6","calazki#3961","0xF48D4780a886900c263E72d475b1d8b0C7e5A987",27
"621f79e143b89009366c841f","2021-07-11T22:00:00.000Z","chuygarcia.eth#6692",,"CMD Burrito#2759",,"for invite me to play some music","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",1,1,21,,,,false,false,false,"AmwFund#0979","0x536c7E8F18D09d04697E0d2624b44bBA575388c2","Vyvy-vi#5040","0x2fA130927814B590623031e846f059df9554FdDe","shawn#7046","0xc68e8827FC1Dd3b2bc94Ca8b0228268f16dd6cf6",7
"621f79e143b89009366c8465","2021-07-11T22:00:00.000Z","markop#2007",,"PhilH#1102","0xAa01DeC5307CF17F20881A3286dcaA062578cea7","for sharing material about TEC simulator and creating opportunities to contribute","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",34,8,21,,,,false,false,false,"Usua◎ Silver#2618","0x914C0E63F98a091e74b7c5e78993bB8de735aE74","liviade#1387","0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6","calazki#3961","0xF48D4780a886900c263E72d475b1d8b0C7e5A987",21
"621f79e143b89009366c8466","2021-07-11T22:00:00.000Z","divine_comedian#5493","0x320c338BCF70bAAaE26e96201C33B48105Bc62C2","karmaticacid#1218",,"for his disputable voting CCD params forum posts, and for his help QAing my posts","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",55,55,34,,,,false,false,false,"Usua◎ Silver#2618","0x914C0E63F98a091e74b7c5e78993bB8de735aE74","Vyvy-vi#5040","0x2fA130927814B590623031e846f059df9554FdDe","calazki#3961","0xF48D4780a886900c263E72d475b1d8b0C7e5A987",48
"621f79e143b89009366c846a","2021-07-12T22:00:00.000Z","kristofer#1475","0xa32aECda752cF4EF89956e83d60C04835d4FA867","Vyvy-vi#5040","0x2fA130927814B590623031e846f059df9554FdDe","for wrangling with the swag-shops and getting them to work","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",3,13,8,,,,false,false,false,"Tam2140#9361","0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8","liviade#1387","0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6","Mettodo#7010","0x7710E7e881333Fd3396Ca5966BeD6E72746b612D",8
"621f79e143b89009366c846b","2021-07-12T22:00:00.000Z","Tam2140#9361","0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8","Vyvy-vi#5040","0x2fA130927814B590623031e846f059df9554FdDe","for hacking on the swagshop issues","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",13,5,13,,,,false,false,false,"osycross(🦎🦎)#5943","0xFe99402763531258875949D449db20157b77Ec5C","Vyvy-vi#5040","0x2fA130927814B590623031e846f059df9554FdDe","calazki#3961","0xF48D4780a886900c263E72d475b1d8b0C7e5A987",10
"621f79e143b89009366c846c","2021-07-12T22:00:00.000Z","Kris#8703",,"Vyvy-vi#5040","0x2fA130927814B590623031e846f059df9554FdDe","for hacking on the swagshop issues","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",3,3,34,,,,false,false,false,"Tam2140#9361","0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8","liviade#1387","0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6","shawn#7046","0xc68e8827FC1Dd3b2bc94Ca8b0228268f16dd6cf6",13
"621f79e143b89009366c846d","2021-07-12T22:00:00.000Z","liviade#1387","0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6","griff (💜, 💜)#8888",,"for hacking on the buckets for Praisemaggeden for 3hours last night... it was fun to hang out 😄","DISCORD:810180621930070088:810180622336262195","DISCORD:Token%20Engineering%20Commons:%F0%9F%99%8F%EF%BD%9Cpraise",144,21,21,,,,false,false,false,"Usua◎ Silver#2618","0x914C0E63F98a091e74b7c5e78993bB8de735aE74","tigeroid#2951","0xd3898129d4acb0F8039b1B9D6367B236F1E6100f","divine_comedian#5493","0x320c338BCF70bAAaE26e96201C33B48105Bc62C2",62
