,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
2,750,621f79e343b89009366c9d32,2021-11-12T23:00:00.000Z,liviade#1387,Mount Manu#3530,for visiting Mitch and going on some sweet adventures,621f79e343b89009366c9c93,621f79e343b89009366c9c93,0,0,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tamarandom#9361,5.68,144.0,False,for visiting Mitch and going on some sweet adventures
5,1522,621f79e343b89009366ca07d,2021-11-25T23:00:00.000Z,divine_comedian#5493,chuygarcia.eth#6692,"for their presentation on Ethereum Colombia yesterday where they proudly represented Giveth <:givepurple:809545200925671485>, Commons Stack <:CommonsStack:835017375405441064> & TEC <:TEC:835016327542210560>",0,0,0,621f79e343b89009366c9bba,Griff 🔥AFK till Sept 15🔥#8888,missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,55.27,144.0,False,"for their presentation on Ethereum Colombia yesterday where they proudly represented Giveth <:givepurple:809545200925671485>, Commons Stack <:CommonsStack:835017375405441064> & TEC <:TEC:835016327542210560>"
8,702,621f79e343b89009366c9d02,2021-11-12T23:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for going to Colombia in a few days and meeting up with Juanka,0,0,0,621f79e343b89009366c9bba,Griff 🔥AFK till Sept 15🔥#8888,missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,52.6,144.0,False,for going to Colombia in a few days and meeting up with Juanka
10,1544,621f79e343b89009366ca099,2021-11-25T23:00:00.000Z,Nuggan#5183,Mount Manu#3530,for all their work at the Params Parties and Params Debates,0,621f79e343b89009366ca008,0,0,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,5.72,89.0,False,for all their work at the Params Parties and Params Debates
11,1410,621f79e343b89009366ca008,2021-11-25T23:00:00.000Z,Nuggan#5183,iviangita#3204,for hosting Params Parties,0,0,0,621f79e343b89009366c9eb8,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,25.77,89.0,False,for hosting Params Parties
12,1530,621f79e343b89009366ca08b,2021-11-25T23:00:00.000Z,Nuggan#5183,Mount Manu#3530,for the awesome Params Party hosting that they are doing,0,621f79e343b89009366ca008,0,621f79e343b89009366c9eb8,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,4.5,89.0,False,for the awesome Params Party hosting that they are doing
14,1209,621f79e343b89009366c9f3e,2021-11-22T23:00:00.000Z,Mount Manu#3530,ALOYSIOUS#3049,"for dishing praise. I see you out there noticing all the things, thank you.",621f79e343b89009366c9eed,0,0,0,Griff 🔥AFK till Sept 15🔥#8888,AmwFund#0979,teaci#6108,PhilH#1102,9.47,89.0,False,"for dishing praise. I see you out there noticing all the things, thank you."
16,447,621f79e343b89009366c9bf4,2021-11-05T23:00:00.000Z,liviade#1387,bfa#7705,"for their contributions, leadership and for being so welcoming always.",0,621f79e343b89009366c9b07,0,0,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tamarandom#9361,8.22,89.0,False,"for their contributions, leadership and for being so welcoming always."
18,1252,621f79e343b89009366c9f6a,2021-11-22T23:00:00.000Z,Mount Manu#3530,iviangita#3204,for listening to the Community Calls every week and writing praise,621f79e343b89009366c9eed,621f79e343b89009366c9eed,0,0,Griff 🔥AFK till Sept 15🔥#8888,AmwFund#0979,teaci#6108,PhilH#1102,4.25,89.0,False,for listening to the Community Calls every week and writing praise
20,1615,621f79e343b89009366ca0e0,2021-11-25T23:00:00.000Z,Mount Manu#3530,Mount Manu#3530,for transcribing the praise from this week's Community Call,621f79e343b89009366c9eed,0,0,621f79e343b89009366ca03a,Griff 🔥AFK till Sept 15🔥#8888,AmwFund#0979,teaci#6108,PhilH#1102,8.85,89.0,False,for transcribing the praise from this week's Community Call
25,1460,621f79e343b89009366ca03a,2021-11-25T23:00:00.000Z,Mount Manu#3530,Vyvy-vi#5040,for transcripting all the praise from the calls!,621f79e343b89009366c9eed,621f79e343b89009366c9eed,0,0,Griff 🔥AFK till Sept 15🔥#8888,AmwFund#0979,teaci#6108,PhilH#1102,6.0,89.0,False,for transcripting all the praise from the calls!
30,882,621f79e343b89009366c9db6,2021-11-12T23:00:00.000Z,Griff 🔥AFK till Sept 15🔥#8888,Mount Manu#3530,for an inspiring interview with Bankless’ Layer Zero,621f79e343b89009366c9db1,0,0,0,lee0007#8152,Mike Brunt#0745,hanners717#2022,Tamarandom#9361,29.7,89.0,False,for an inspiring interview with Bankless’ Layer Zero
33,1021,621f79e343b89009366c9e72,2021-11-17T23:00:00.000Z,Vyvy-vi#5040,MS#4235,for rocking the demo today of the onboarding experience into Discord!,0,621f79e343b89009366c9e64,621f79e343b89009366c9e70,621f79e343b89009366c9e61,Usua◎ Silver#2618,GideonRo#3175,innov8tor3#3988,shawn#7046,6.0,89.0,False,for rocking the demo today of the onboarding experience into Discord!
37,1654,621f79e343b89009366ca107,2021-11-27T23:00:00.000Z,hz#8826,Vyvy-vi#5040,for diving into pollen-bot and looking into setting up automations for our sourcecred instance,0,621f79e343b89009366c9fea,621f79e343b89009366c9fea,621f79e343b89009366c9fea,Usua◎ Silver#2618,liviade#1387,innov8tor3#3988,enti#1546,8.13,89.0,False,for diving into pollen-bot and looking into setting up automations for our sourcecred instance
38,743,621f79e343b89009366c9d2b,2021-11-12T23:00:00.000Z,Nuggan#5183,Mount Manu#3530,for hosting Params Parties,0,621f79e343b89009366c9cf5,621f79e343b89009366c9d1f,0,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,1.95,55.0,False,for hosting Params Parties
