index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD
239,621f79e343b89009366c9b24,2021-11-04T23:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for being an amazing leader and patriarch figure to the Comms DAO,144.0,8.0,34.0,3.0,,,,,False,False,False,False,Griff 🔥AFK till Sept 15🔥#8888,zhiwei#1356,innov8tor3#3988,enti#1546,47.25,141.0
597,621f79e343b89009366c9c93,2021-11-10T23:00:00.000Z,liviade#1387,karmaticacid | AFK til Sept 12#1218,for coming down to visit us in costa rica - wish you could have stayed longer!,3.0,144.0,3.0,5.0,,,,,False,False,False,False,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tamarandom#9361,38.75,141.0
750,621f79e343b89009366c9d32,2021-11-12T23:00:00.000Z,liviade#1387,Mount Manu#3530,for visiting Mitch and going on some sweet adventures,3.0,144.0,3.0,5.0,621f79e343b89009366c9c93,621f79e343b89009366c9c93,,,False,False,False,False,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tamarandom#9361,5.68,141.0
1526,621f79e343b89009366ca087,2021-11-25T23:00:00.000Z,"sem(🌸,🐝)#0161",Mount Manu#3530,for conquering so many issues this week and working so closely with Brett to really ensure the safety of our smart contracts,5.0,21.0,144.0,21.0,,,,,False,False,False,False,lee0007#8152,missgene#7773,divine_comedian#5493,osycross(🦎🦎)#5943,47.75,139.0
717,621f79e343b89009366c9d11,2021-11-12T23:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for being such a welcoming host and amazing adventure buddy,,144.0,13.0,5.0,,,,,False,False,False,False,Griff 🔥AFK till Sept 15🔥#8888,missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,54.0,139.0
1522,621f79e343b89009366ca07d,2021-11-25T23:00:00.000Z,divine_comedian#5493,chuygarcia.eth#6692,"for their presentation on Ethereum Colombia yesterday where they proudly represented Giveth <:givepurple:809545200925671485>, Commons Stack <:CommonsStack:835017375405441064> & TEC <:TEC:835016327542210560>",,144.0,21.0,8.0,,,,621f79e343b89009366c9bba,False,False,False,False,Griff 🔥AFK till Sept 15🔥#8888,missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,55.27,136.0
389,621f79e343b89009366c9bba,2021-11-04T23:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for coming to Colombia on November’s end and giving a talk in Ethereum Caribe,,144.0,21.0,8.0,,,,,False,False,False,False,Griff 🔥AFK till Sept 15🔥#8888,missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,57.67,136.0
102,621f79e343b89009366c9a8f,2021-11-03T23:00:00.000Z,iviangita#3204,Tamarandom#9361,for accepting the repsonisbility of acting Steward for the TEC and keeping tht WG afloat while we put out a call for new legal minds to join.,144.0,34.0,34.0,8.0,,,,,False,False,False,False,Griff 🔥AFK till Sept 15🔥#8888,GideonRo#3175,Parrachia#0450,enti#1546,55.0,136.0
702,621f79e343b89009366c9d02,2021-11-12T23:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for going to Colombia in a few days and meeting up with Juanka,,144.0,13.0,8.0,,,,621f79e343b89009366c9bba,False,False,False,False,Griff 🔥AFK till Sept 15🔥#8888,missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,52.6,136.0
1571,621f79e343b89009366ca0b4,2021-11-25T23:00:00.000Z,divine_comedian#5493,Mount Manu#3530,"for the logistics of the event that they’re having in Barranquilla, Colombia",,144.0,13.0,8.0,,,,,False,False,False,False,Griff 🔥AFK till Sept 15🔥#8888,missgene#7773,hanners717#2022,osycross(🦎🦎)#5943,55.0,136.0
1544,621f79e343b89009366ca099,2021-11-25T23:00:00.000Z,Nuggan#5183,Mount Manu#3530,for all their work at the Params Parties and Params Debates,1.0,89.0,8.0,5.0,,621f79e343b89009366ca008,,,False,False,False,False,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,5.72,88.0
1410,621f79e343b89009366ca008,2021-11-25T23:00:00.000Z,Nuggan#5183,iviangita#3204,for hosting Params Parties,1.0,89.0,13.0,1.0,,,,621f79e343b89009366c9eb8,False,False,False,False,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,25.77,88.0
1530,621f79e343b89009366ca08b,2021-11-25T23:00:00.000Z,Nuggan#5183,Mount Manu#3530,for the awesome Params Party hosting that they are doing,1.0,89.0,8.0,1.0,,621f79e343b89009366ca008,,621f79e343b89009366c9eb8,False,False,False,False,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,4.5,88.0
210,621f79e343b89009366c9b07,2021-11-04T23:00:00.000Z,liviade#1387,iviangita#3204,for being the mom and dad of this community,5.0,89.0,3.0,5.0,,,,,False,False,False,False,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tamarandom#9361,25.5,86.0
1209,621f79e343b89009366c9f3e,2021-11-22T23:00:00.000Z,Mount Manu#3530,ALOYSIOUS#3049,"for dishing praise. I see you out there noticing all the things, thank you.",89.0,5.0,21.0,3.0,621f79e343b89009366c9eed,,,,False,False,False,False,Griff 🔥AFK till Sept 15🔥#8888,AmwFund#0979,teaci#6108,PhilH#1102,9.47,86.0
1374,621f79e343b89009366c9fe4,2021-11-25T23:00:00.000Z,Nuggan#5183,kristofer#1475,for writing a first version of the Rewards analysis/distribution,3.0,89.0,13.0,13.0,,,,,False,False,False,False,bends#3537,missgene#7773,Zeptimus#3359,shawn#7046,29.5,86.0
447,621f79e343b89009366c9bf4,2021-11-05T23:00:00.000Z,liviade#1387,bfa#7705,"for their contributions, leadership and for being so welcoming always.",3.0,89.0,13.0,8.0,,621f79e343b89009366c9b07,,,False,False,False,False,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tamarandom#9361,8.22,86.0
231,621f79e343b89009366c9b1c,2021-11-04T23:00:00.000Z,liviade#1387,iviangita#3204,for pushing through and trying to come to Costa Rica despite the obstacles,5.0,89.0,3.0,13.0,,,,,False,False,False,False,Maxwe11#7157,missgene#7773,divine_comedian#5493,Tamarandom#9361,27.5,86.0
1252,621f79e343b89009366c9f6a,2021-11-22T23:00:00.000Z,Mount Manu#3530,iviangita#3204,for listening to the Community Calls every week and writing praise,89.0,21.0,3.0,3.0,621f79e343b89009366c9eed,621f79e343b89009366c9eed,,,False,False,False,False,Griff 🔥AFK till Sept 15🔥#8888,AmwFund#0979,teaci#6108,PhilH#1102,4.25,86.0
