,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
0,1226,6256d00b7d6ca6ad95bd5f97,2022-02-25T23:00:00.000Z,karmaticacid | AFK til Sept 12#1218,Mount Manu#3530,for your amazing talks at ETHDenver,6256d00b7d6ca6ad95bd5e8a,0,6256d00b7d6ca6ad95bd5e8a,0,bear100#9085,lee0007#8152,divine_comedian#5493,Tamarandom#9361,6.63,144.0,False,for your amazing talks at ETHDenver
1,1288,6256d00b7d6ca6ad95bd5fd5,2022-02-25T23:00:00.000Z,karmaticacid | AFK til Sept 12#1218,Mount Manu#3530,for your participation in some panels at ETHDenver,6256d00b7d6ca6ad95bd5e8a,0,6256d00b7d6ca6ad95bd5e8a,0,bear100#9085,lee0007#8152,divine_comedian#5493,Tamarandom#9361,6.63,144.0,False,for your participation in some panels at ETHDenver
3,1385,6256d00b7d6ca6ad95bd6036,2022-02-27T23:00:00.000Z,chuygarcia.eth#6692,pat.zip (TE Academy)#5266,"for being so helpful with managing many tasks at once for preparations of DAOist Mexico, and doing so with in an uplifting mood! 💜",6256d00b7d6ca6ad95bd5f4a,0,0,0,bear100#9085,missgene#7773,acidlazzer#5796,Tamarandom#9361,14.47,144.0,False,"for being so helpful with managing many tasks at once for preparations of DAOist Mexico, and doing so with in an uplifting mood! 💜"
6,1258,6256d00b7d6ca6ad95bd5fb7,2022-02-25T23:00:00.000Z,chuygarcia.eth#6692,Mount Manu#3530,"for organizing the DAOist event in Mexico and for supporting me, personally, as a friend and as a co-worker",6256d00b7d6ca6ad95bd5f4a,6256d00b7d6ca6ad95bd5f4a,0,0,bear100#9085,missgene#7773,acidlazzer#5796,Tamarandom#9361,8.6,144.0,False,"for organizing the DAOist event in Mexico and for supporting me, personally, as a friend and as a co-worker"
8,1273,6256d00b7d6ca6ad95bd5fc6,2022-02-25T23:00:00.000Z,karmaticacid | AFK til Sept 12#1218,Mount Manu#3530,for representing the TEC in ETHDenver,6256d00b7d6ca6ad95bd5fa3,0,6256d00b7d6ca6ad95bd5d59,0,bear100#9085,lee0007#8152,divine_comedian#5493,Tamarandom#9361,3.13,89.0,False,for representing the TEC in ETHDenver
10,912,6256d00b7d6ca6ad95bd5e5d,2022-02-18T23:00:00.000Z,karmaticacid | AFK til Sept 12#1218,Mount Manu#3530,for representing the TEC community at ETHDenver,6256d00b7d6ca6ad95bd5d59,0,6256d00b7d6ca6ad95bd5d59,0,bear100#9085,lee0007#8152,divine_comedian#5493,Tamarandom#9361,3.13,89.0,False,for representing the TEC community at ETHDenver
11,924,6256d00b7d6ca6ad95bd5e69,2022-02-18T23:00:00.000Z,Tamarandom#9361,Mount Manu#3530,for representing the community at ETHDenver,6256d00b7d6ca6ad95bd5d57,0,6256d00b7d6ca6ad95bd5e37,0,Mike Brunt#0745,Usua◎ Silver#2618,boonjue.eth#7124,tigeroid#2951,4.1,89.0,False,for representing the community at ETHDenver
12,1238,6256d00b7d6ca6ad95bd5fa3,2022-02-25T23:00:00.000Z,karmaticacid | AFK til Sept 12#1218,Mount Manu#3530,for their representation in ETHDenver,0,0,6256d00b7d6ca6ad95bd5d59,0,bear100#9085,lee0007#8152,divine_comedian#5493,Tamarandom#9361,4.63,89.0,False,for their representation in ETHDenver
13,977,6256d00b7d6ca6ad95bd5e9e,2022-02-19T23:00:00.000Z,karmaticacid | AFK til Sept 12#1218,Mount Manu#3530,for representing the TEC at ETHDenver,6256d00b7d6ca6ad95bd5d59,0,6256d00b7d6ca6ad95bd5d59,0,bear100#9085,lee0007#8152,divine_comedian#5493,Tamarandom#9361,3.13,89.0,False,for representing the TEC at ETHDenver
14,1317,6256d00b7d6ca6ad95bd5ff2,2022-02-26T23:00:00.000Z,karmaticacid | AFK til Sept 12#1218,Mount Manu#3530,for attending ETHDenver and representing the TEC,6256d00b7d6ca6ad95bd5fa3,0,6256d00b7d6ca6ad95bd5d59,0,bear100#9085,lee0007#8152,divine_comedian#5493,Tamarandom#9361,3.13,89.0,False,for attending ETHDenver and representing the TEC
18,953,6256d00b7d6ca6ad95bd5e86,2022-02-19T23:00:00.000Z,Griff 🔥AFK till Sept 15🔥#8888,Mount Manu#3530,for attending ETHDenver and doing presentations & panels about our work within the TEC,0,6256d00b7d6ca6ad95bd5e5b,6256d00b7d6ca6ad95bd5e5b,0,osycross(🦎🦎)#5943,missgene#7773,Nuggan#5183,EFRA#7972,5.33,89.0,False,for attending ETHDenver and doing presentations & panels about our work within the TEC
20,358,6256d00b7d6ca6ad95bd5c33,2022-02-08T23:00:00.000Z,solsista#5370,Mount Manu#3530,for being our community's Stewards,0,6256d00b7d6ca6ad95bd5b85,0,6256d00b7d6ca6ad95bd5b74,osycross(🦎🦎)#5943,Zeptimus#3359,acidlazzer#5796,EFRA#7972,5.07,89.0,False,for being our community's Stewards
22,712,6256d00b7d6ca6ad95bd5d95,2022-02-12T23:00:00.000Z,Mert Ozd#6679,Mount Manu#3530,for your participation in the proposal inverter,0,0,0,6256d00b7d6ca6ad95bd5df4,eduardovegap#0422,Usua◎ Silver#2618,divine_comedian#5493,innov8tor3#3988,33.47,89.0,False,for your participation in the proposal inverter
24,930,6256d00b7d6ca6ad95bd5e6f,2022-02-18T23:00:00.000Z,Griff 🔥AFK till Sept 15🔥#8888,Mount Manu#3530,"for being on ETHDenver, representing the TEC",0,6256d00b7d6ca6ad95bd5e5b,6256d00b7d6ca6ad95bd5e5b,6256d00b7d6ca6ad95bd5e5b,osycross(🦎🦎)#5943,missgene#7773,Nuggan#5183,EFRA#7972,3.93,89.0,False,"for being on ETHDenver, representing the TEC"
25,976,6256d00b7d6ca6ad95bd5e9d,2022-02-19T23:00:00.000Z,Griff 🔥AFK till Sept 15🔥#8888,Mount Manu#3530,for representing the TEC at ETHDenver,0,6256d00b7d6ca6ad95bd5e5b,6256d00b7d6ca6ad95bd5e5b,6256d00b7d6ca6ad95bd5e5b,osycross(🦎🦎)#5943,missgene#7773,Nuggan#5183,EFRA#7972,3.93,89.0,False,for representing the TEC at ETHDenver
26,922,6256d00b7d6ca6ad95bd5e67,2022-02-18T23:00:00.000Z,Griff 🔥AFK till Sept 15🔥#8888,Mount Manu#3530,for representing the community at ETHDenver,0,6256d00b7d6ca6ad95bd5e5b,6256d00b7d6ca6ad95bd5e5b,6256d00b7d6ca6ad95bd5e5b,osycross(🦎🦎)#5943,missgene#7773,Nuggan#5183,EFRA#7972,3.93,89.0,False,for representing the community at ETHDenver
27,911,6256d00b7d6ca6ad95bd5e5c,2022-02-18T23:00:00.000Z,Tamarandom#9361,Mount Manu#3530,for representing the TEC community at ETHDenver,6256d00b7d6ca6ad95bd5d57,0,6256d00b7d6ca6ad95bd5e37,0,Mike Brunt#0745,Usua◎ Silver#2618,boonjue.eth#7124,tigeroid#2951,6.77,89.0,False,for representing the TEC community at ETHDenver
28,1092,6256d00b7d6ca6ad95bd5f11,2022-02-23T23:00:00.000Z,Tamarandom#9361,enti#1546,"for their participation on ETH Denver, @natesuits, and @Mount Manu for their great commitment to the community, leading calls and helping everyone around. Also for being wherever needed.",0,0,6256d00b7d6ca6ad95bd5e37,0,Mike Brunt#0745,Usua◎ Silver#2618,boonjue.eth#7124,tigeroid#2951,12.63,89.0,False,"for their participation on ETH Denver, @natesuits, and @Mount Manu for their great commitment to the community, leading calls and helping everyone around. Also for being wherever needed."
35,1310,6256d00b7d6ca6ad95bd5feb,2022-02-26T23:00:00.000Z,Griff 🔥AFK till Sept 15🔥#8888,Mount Manu#3530,for excellent talks at ETHDenver,0,6256d00b7d6ca6ad95bd5fd4,6256d00b7d6ca6ad95bd5e5b,6256d00b7d6ca6ad95bd5fd4,osycross(🦎🦎)#5943,missgene#7773,Nuggan#5183,EFRA#7972,3.83,89.0,False,for excellent talks at ETHDenver
